#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
1;USA;81154960;39254;993044;1022;55757373;157198;24404543;4604;242776;2971;963805880;2883239;334278850;North America
2;India;42987875;3614;515833;88;42431513;5185;40529;8944;30642;368;776894810;553777;1402902454;Asia
3;Brazil;29305114;55211;654612;465;27556598;0;1093904;8318;136233;3043;63776166;296482;215109695;South America
4;France;23381279;72399;140029;149;22087946;76531;1153304;1928;356872;2137;246629975;3764348;65517319;Europe
5;UK;19530485;72828;162738;114;18229317;46835;1138430;253;285167;2376;489876300;7152739;68487936;Europe
6;Russia;17242043;50743;359585;674;15194927;151210;1687531;2300;118064;2462;273400000;1872089;146040091;Europe
7;Germany;16881948;245342;125911;242;13153300;189500;3602737;2494;200412;1495;104701826;1242956;84236156;Europe
8;Turkey;14513774;25401;96217;123;14065761;52269;351796;975;169019;1120;147898704;1722343;85870645;Asia
9;Italy;13268459;53127;156649;156;12135331;48481;976479;545;219998;2597;191812811;3180356;60311750;Europe
10;Spain;11223974;19849;101135;58;10294394;40187;828445;689;239904;2162;471036328;10068031;46785347;Europe
11;Argentina;8967210;5615;127051;42;8762697;4588;77462;759;195382;2768;34739380;756920;45895724;South America
12;Iran;7117544;3953;138692;120;6768271;6379;210581;3069;82948;1616;48108485;560658;85807110;Asia
13;Netherlands;7055814;69186;21688;13;5414900;86497;1619226;162;410249;1261;21107399;1227255;17198870;Europe
14;Colombia;6075656;782;139255;35;5906638;1079;29763;342;117295;2688;33481801;646390;51798170;South America
15;Indonesia;5864010;16110;151703;290;5335846;39212;376461;2771;21063;545;88766749;318841;278404860;Asia
16;S. Korea;5822626;282976;9875;229;N/A;N/A;N/A;1116;113405;192;15804065;307809;51343665;Asia
17;Poland;5799993;11634;113307;121;5169557;8599;517129;523;153534;2999;34438732;911641;37776640;Europe
18;Japan;5609096;62825;25697;211;4971301;60018;612098;1252;44579;204;40655716;323119;125822893;Asia
19;Mexico;5591871;8098;320607;197;4880174;16798;391090;4798;42615;2443;15308764;116666;131218882;North America
20;Vietnam;5448935;169114;41228;71;2983222;74857;2424485;3990;55142;417;81001418;819714;98816731;Asia
21;Ukraine;4894331;5858;106985;86;N/A;N/A;N/A;177;113058;2471;19521252;450939;43290255;Europe
22;Malaysia;3774786;32800;33643;76;3418443;24444;322700;380;114160;1017;51833725;1567595;33065773;Asia
23;Israel;3707477;3361;10359;1;3652205;10593;44913;388;397542;1111;41373364;4436346;9326000;Asia
24;South Africa;3691962;1671;99709;28;3572534;776;19719;546;60953;1646;23365475;385756;60570545;Africa
25;Czechia;3670406;8238;39121;21;3554692;13941;76593;129;341671;3642;53015282;4935089;10742517;Europe
26;Philippines;3669522;0;57317;0;3565090;0;47115;289;32751;512;28479926;254189;112042205;Asia
27;Belgium;3629671;9409;30380;26;3333536;19016;265755;192;310899;2602;32069513;2746910;11674761;Europe
28;Australia;3535620;34886;5549;29;3268084;17900;261987;101;135990;213;64450382;2478939;25999181;Australia/Oceania
29;Peru;3534687;3612;211423;59;N/A;N/A;N/A;683;104741;6265;27851471;825305;33746874;South America
30;Portugal;3380263;0;21285;0;2876177;0;482801;70;333145;2098;37805639;3725970;10146522;Europe
31;Canada;3357009;6175;36855;48;3207481;6663;112673;552;87649;962;58655426;1531447;38300662;North America
32;Chile;3269062;18326;43659;132;2424006;34553;801397;1000;168568;2251;33911987;1748658;19393151;South America
33;Thailand;3136649;24792;23578;63;2890076;22065;222995;687;44748;336;17270775;246389;70095625;Asia
34;Austria;3071402;49323;15163;27;2697610;26217;358629;176;337771;1668;165347447;18183763;9093137;Europe
35;Switzerland;3058800;18374;13366;2;2474544;27064;570890;142;349120;1526;19259669;2198229;8761449;Europe
36;Denmark;2796420;13036;5076;27;2580989;21471;210355;28;479938;871;126206869;21660347;5826632;Europe
37;Romania;2787625;2974;64288;48;2606660;0;116677;608;146555;3380;21498489;1130246;19021069;Europe
38;Greece;2604626;21260;26473;49;2378977;8156;199176;361;251968;2561;68688765;6644869;10337114;Europe
39;Sweden;2466577;0;17765;0;2372096;15776;76716;47;241690;1741;18297871;1792932;10205557;Europe
40;Iraq;2311926;688;25094;4;2263685;1563;23147;90;55382;601;18127495;434246;41744767;Asia
41;Bangladesh;1949055;257;29105;5;1857648;2399;62302;1264;11639;174;13614188;81299;167458473;Asia
42;Serbia;1937183;2230;15552;19;1872063;4462;49568;75;223230;1792;8904881;1026149;8677963;Europe
43;Hungary;1814362;2068;44653;50;1650643;4606;119066;109;188624;4642;10921558;1135422;9618944;Europe
44;Jordan;1654677;0;13882;0;1572386;0;68409;694;159501;1338;16319298;1573084;10374081;Asia
45;Georgia;1633443;1543;16505;20;1581376;3198;35562;0;410801;4151;16053104;4037256;3976241;Asia
46;Slovakia;1556433;9923;18847;30;1402729;12798;134857;206;284847;3449;6578659;1203977;5464106;Europe
47;Pakistan;1517512;723;30298;7;1469405;956;17809;677;6652;133;26825303;117589;228127539;Asia
48;Norway;1346777;5614;1753;0;88952;0;1256072;23;245190;319;9852076;1793638;5492789;Europe
49;Ireland;1341826;9125;6611;21;1223949;5665;111266;37;266719;1314;11510702;2288015;5030869;Europe
50;Kazakhstan;1304220;119;13642;3;1279441;1032;11137;528;68085;712;11575012;604259;19155723;Asia
51;Morocco;1161980;55;16034;1;1144938;205;1008;293;30864;426;11237010;298469;37648856;Africa
52;Bulgaria;1111216;1635;36069;41;875759;4453;199388;345;161981;5258;9354689;1363627;6860154;Europe
53;Lebanon;1083351;932;10193;8;982902;8480;90256;186;159931;1505;4795578;707954;6773851;Asia
54;Cuba;1075616;586;8503;1;1064627;483;2486;23;95062;751;12920253;1141875;11314946;North America
55;Croatia;1070855;1538;15308;14;1045532;1764;10015;57;263593;3768;4573949;1125886;4062533;Europe
56;Tunisia;1020546;2099;28018;9;979949;1161;12579;113;84852;2330;4432295;368519;12027325;Africa
57;Nepal;977848;62;11950;1;960686;189;5212;100;32572;398;5475202;182380;30020893;Asia
58;Lithuania;956648;5302;8605;4;871253;9092;76790;74;359888;3237;7875623;2962788;2658180;Europe
59;Belarus;937583;1899;6633;15;928536;0;2414;0;99277;702;12601257;1334303;9444076;Europe
60;Singapore;917103;15345;1129;13;859317;21481;56657;23;154707;190;23315251;3933073;5927999;Asia
61;Slovenia;914455;2249;6398;8;883016;1922;25041;77;439764;3077;2586209;1243717;2079420;Europe
62;Bolivia;896744;429;21472;2;804502;1181;70770;220;75093;1798;2682016;224592;11941706;South America
