#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
1;USA;80954226;22731;985406;535;54773708;171025;25195112;6073;242191;2948;956771937;2862378;334257677;North America
2;India;42967315;4362;515133;70;42398095;9620;54087;8944;30631;367;772824246;550933;1402754293;Asia
3;Brazil;29049013;15961;652207;219;27058371;76077;1338435;8318;135053;3032;63776166;296505;215093207;South America
4;France;23057326;45328;139275;32;21596059;26355;1321992;2484;351936;2126;246629975;3764438;65515745;Europe
5;UK;19119181;0;162008;0;17537214;0;1419959;264;279177;2366;485037295;7082486;68484046;Europe
6;Russia;16941656;79863;356281;744;14567976;149060;2017399;2300;116007;2440;273400000;1872097;146039410;Europe
7;Germany;15828455;104548;124716;46;12119200;85600;3584539;2494;187912;1481;104701826;1242999;84233236;Europe
8;Turkey;14353888;27671;95549;170;13744316;50241;514023;1011;167176;1113;146094268;1701526;85860733;Asia
9;Italy;13026691;35636;155887;105;11853884;38274;1016920;603;215986;2585;189780403;3146607;60312718;Europe
10;Spain;11124426;11999;100527;48;10024821;86174;999078;851;237777;2149;471036328;10068073;46785150;Europe
11;Argentina;8936602;2274;126768;60;8737206;7541;72628;1007;194735;2762;34494368;751655;45891196;South America
12;Iran;7089892;5586;137948;201;6730318;11314;221626;3722;82637;1608;47726758;556286;85795361;Asia
13;Netherlands;6707202;66799;21612;4;4899139;78003;1786451;161;389989;1257;21107399;1227284;17198457;Europe
14;Colombia;6071704;1088;139091;54;5900330;1133;32283;342;117232;2686;33350542;643929;51792246;South America
15;Indonesia;5748725;24867;150172;254;5122602;49080;475951;2771;20651;539;87174299;313156;278373269;Asia
16;Poland;5741737;7695;112545;10;5120633;4715;508559;632;151990;2979;34076787;902049;37777092;Europe
17;Mexico;5563080;8688;319824;220;4842078;9905;401178;4798;42400;2438;15225057;116041;131204086;North America
18;Japan;5338116;63520;24789;185;4652918;73742;660409;1362;42424;197;39872476;316883;125827106;Asia
19;Ukraine;4871088;4830;106630;68;N/A;N/A;N/A;177;112514;2463;19521252;450909;43293111;Europe
20;S. Korea;4456264;243612;8957;161;969524;0;3477783;885;86794;174;15804065;307812;51343185;Asia
21;Vietnam;4434700;142136;40813;87;2681447;65445;1712440;4208;44882;413;80124769;810921;98807169;Asia
22;South Africa;3684319;1147;99543;0;3560217;266;24559;546;60835;1644;23245373;383825;60562373;Africa
23;Israel;3673110;3991;10282;8;3609010;9346;53818;437;393857;1103;41373364;4436346;9326000;Asia
24;Philippines;3667535;863;57023;144;3561726;1433;48786;289;32738;509;28362486;253177;112026263;Asia
25;Czechia;3629523;4560;38927;16;3514261;10630;76335;175;337872;3624;52841933;4919052;10742301;Europe
26;Malaysia;3622607;27435;33228;55;3281128;30335;308251;379;109573;1005;50793505;1536346;33061241;Asia
27;Belgium;3586292;0;30259;0;3199370;45413;356663;227;307198;2592;31867095;2729700;11674211;Europe
28;Peru;3527549;3045;211108;113;N/A;N/A;N/A;793;104545;6257;27647736;819390;33741853;South America
29;Australia;3364178;19561;5416;13;3138674;15523;220088;111;129412;208;64004973;2462113;25995948;Australia/Oceania
30;Portugal;3332200;10066;21199;17;2832853;11203;478148;82;328398;2089;37805639;3725851;10146846;Europe
31;Canada;3325454;4663;36986;30;3173048;4916;115420;600;86833;966;58355310;1523755;38297049;North America
